Key,name,value
Case Open Date:,"U.S. v. A&L Mayer Associates, Inc.","Thursday, May 30, 1996"
Case Name:,"U.S. v. A&L Mayer Associates, Inc.","United States v. A&L Mayer Associates, Inc."
Case Type:,"U.S. v. A&L Mayer Associates, Inc.",Criminal
Case Violation:,"U.S. v. A&L Mayer Associates, Inc.","Customer, Territorial or Market Allocation - Horizontal"
Case Violation:,"U.S. v. A&L Mayer Associates, Inc.",Price Fixing - Horizontal
Case Violation:,"U.S. v. A&L Mayer Associates, Inc.",Price Fixing - Vertical
Market:,"U.S. v. A&L Mayer Associates, Inc.","Tampico fiber importing, distribution and sale"
Industry Code:,"U.S. v. A&L Mayer Associates, Inc.","Farm-Product Raw Materials, NEC"
Industry Code:,"U.S. v. A&L Mayer Associates, Inc.",Other Farm Product Raw Material Wholesalers
Component:,"U.S. v. A&L Mayer Associates, Inc.",Antitrust Division
Case Documents:,"U.S. v. A&L Mayer Associates, Inc.",Information
Case Open Date:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.","Thursday, May 30, 1996"
Case Name:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.","United States v. A&L Mayer Associates, Inc., A&L Mayer, Inc., and Fibras Saltillo, S.A. de C.V."
Case Type:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.",Civil Non-Merger
Case Violation:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.",Customer or Territorial Allocation or Restrictive Resale Practice
Case Violation:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.",Other Restraint of Trade
Case Violation:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.",Price Fixing - Horizontal
Market:,"U.S. v. A&L Mayer Associates, Inc.; A&L Mayer, Inc.; and Fibras Saltillo, S.A. de C.V.",TAMPICO FIBER
