Active Shooter Event,Active Shooter Casualties,Active Shooter Wounded,Active Shooter Killed,City,State,Location Type,Rifles,Shotguns,Handguns,Explosives,Date,Time ,Age of Shooter,Gender of Shooter
18 Miles of U.S. Route 64 from Sallisaw to Roland Oklahoma,10,8,2,Sallisaw,Oklahoma,Open Space,0,1,0,0,10/26/2002,5:00:00 PM,18,Male
ABB Plant,8,5,3,St. Louis,Missouri,Commerce,1,1,2,0,1/7/2010,6:30:00 AM,51,Male
Accent Signage Systems,8,2,6,Minneapolis,Minnesota,Commerce,0,0,1,0,9/27/2012,4:35:00 PM,36,Male
Advanced Granite Solutions and 28th Street Auto Sales and Service,6,3,3,Edgewood,Maryland,Commerce,0,0,1,0,10/18/2017,8:58:00 AM,37,Mae
"Albuquerque, New Mexico",4,4,0,Albuquerque,New Mexico,Open Space,2,0,3,0,10/26/2013,11:20:00 AM,35,Male
American Civic Association Center,17,4,13,Binghamton,New York,Commerce,0,0,2,0,4/3/2009,10:31:00 AM,41,Male
AmeriCold Logistics,3,3,0,Crete,Nebraska,Commerce,0,0,1,0,9/22/2010,9:54:00 PM,26,Male
Amko Trading Store,4,0,4,Houston,Texas,Commerce,0,0,2,0,1/9/2001,12:00:00 PM,54,Male
Am-Pac Tire Pros,3,2,1,Simi Valley,California,Commerce,0,0,1,0,10/8/2007,7:30:00 AM,29,Male
Andover Industries,3,2,1,Andover,Ohio,Commerce,0,0,4,0,8/19/2003,8:20:00 AM,32,Male
Antigo High School,2,2,0,Antigo,Wisconsin,Education,1,0,0,0,4/23/2016,11:02:00 PM,18,Male
Appalachian School of Law,6,3,3,Grundy,Virginia,Education,0,0,1,0,1/16/2002,1:15:00 PM,43,Male
Arapahoe High School,1,0,1,Centennial,Colorado,Education,0,1,0,3,12/13/2013,12:00:00 AM,18,Male
Arizona State Route 87,2,2,0,Phoenix,Arizona,Open Space,1,0,0,0,5/24/2016,8:30:00 PM,36,Male
AT&T Cellular,1,1,0,New York Mills,New York,Commerce,0,0,1,0,5/27/2010,1:00:00 PM,79,Male
Atlantis Plastics Factory,6,1,5,Henderson,Kentucky,Commerce,0,0,1,0,6/25/2008,12:00:00 AM,25,Male
Azana Day Salon,7,4,3,Brookfield,Wisconsin,Commerce,0,0,1,0,10/21/2012,11:09:00 AM,45,Male
Aztec High School,0,0,2,Aztec,New Mexico,Education,0,0,1,0,12/7/2017,8:00:00 AM,21,Male
Ben E. Keith Albuquerque,3,3,0,Albuquerque,New Mexico,Commerce,0,0,1,0,11/12/2018,6:56:00 PM,30,Male
Ben E. Keith Gulf Coast,2,1,1,Missouri City,Texas,Commerce,0,0,1,0,8/20/2018,2:00:00 AM,38,Female
