event_name,casualties,wounded,killed,city,state,location_type,rifles,shotguns,handguns,explosives,date_time,shooter_age,shooter_gender
18 Miles of U.S. Route 64 from Sallisaw to Roland Oklahoma,10,8,2,Sallisaw,Oklahoma,Open Space,0,1,0,0,2002-10-26T17:00:00Z,18,Male
ABB Plant,8,5,3,St. Louis,Missouri,Commerce,1,1,2,0,2010-01-07T06:30:00Z,51,Male
Accent Signage Systems,8,2,6,Minneapolis,Minnesota,Commerce,0,0,1,0,2012-09-27T16:35:00Z,36,Male
Advanced Granite Solutions and 28th Street Auto Sales and Service,6,3,3,Edgewood,Maryland,Commerce,0,0,1,0,2017-10-18T08:58:00Z,37,Mae
"Albuquerque, New Mexico",4,4,0,Albuquerque,New Mexico,Open Space,2,0,3,0,2013-10-26T11:20:00Z,35,Male
American Civic Association Center,17,4,13,Binghamton,New York,Commerce,0,0,2,0,2009-04-03T10:31:00Z,41,Male
AmeriCold Logistics,3,3,0,Crete,Nebraska,Commerce,0,0,1,0,2010-09-22T21:54:00Z,26,Male
Amko Trading Store,4,0,4,Houston,Texas,Commerce,0,0,2,0,2001-01-09T12:00:00Z,54,Male
Am-Pac Tire Pros,3,2,1,Simi Valley,California,Commerce,0,0,1,0,2007-10-08T07:30:00Z,29,Male
Andover Industries,3,2,1,Andover,Ohio,Commerce,0,0,4,0,2003-08-19T08:20:00Z,32,Male
Antigo High School,2,2,0,Antigo,Wisconsin,Education,1,0,0,0,2016-04-23T23:02:00Z,18,Male
Appalachian School of Law,6,3,3,Grundy,Virginia,Education,0,0,1,0,2002-01-16T13:15:00Z,43,Male
Arapahoe High School,1,0,1,Centennial,Colorado,Education,0,1,0,3,2013-12-13T00:00:00Z,18,Male
Arizona State Route 87,2,2,0,Phoenix,Arizona,Open Space,1,0,0,0,2016-05-24T20:30:00Z,36,Male
AT&T Cellular,1,1,0,New York Mills,New York,Commerce,0,0,1,0,2010-05-27T13:00:00Z,79,Male
Atlantis Plastics Factory,6,1,5,Henderson,Kentucky,Commerce,0,0,1,0,2008-06-25T00:00:00Z,25,Male
Azana Day Salon,7,4,3,Brookfield,Wisconsin,Commerce,0,0,1,0,2012-10-21T11:09:00Z,45,Male
Aztec High School,2,0,2,Aztec,New Mexico,Education,0,0,1,0,2017-12-07T08:00:00Z,21,Male
Ben E. Keith Albuquerque,3,3,0,Albuquerque,New Mexico,Commerce,0,0,1,0,2018-11-12T18:56:00Z,30,Male
Ben E. Keith Gulf Coast,2,1,1,Missouri City,Texas,Commerce,0,0,1,0,2018-08-20T02:00:00Z,38,Female
"Benny's Car Wash, Oil Change & B-Quik and Hair Crown Beauty Supply",6,3,3,Baton Rouge,Louisiana,Open Space,2,0,1,0,2016-07-17T08:40:00Z,29,Male
Berrendo Middle School,3,3,0,Roswell,New Mexico,Education,0,1,0,0,2014-01-14T07:30:00Z,12,Male
Bertrand Products Inc,9,5,4,South Bend,Indiana,Commerce,1,1,0,0,2002-03-22T08:15:00Z,54,Male
Best Buy in Hudson Valley Mall,2,2,0,Kingston,New York,Commerce,1,0,0,0,2005-02-13T15:15:00Z,25,Male
Blue Sky Carnival,1,1,0,Bloomfield,New Jersey,Open Space,0,0,1,0,2010-05-07T22:22:00Z,17,Male
Borderline Bar and Grill,28,16,12,Thousand Oaks,California,Commerce,0,0,1,0,2018-11-07T23:20:00Z,28,Male
Boulder Stove and Flooring,2,0,2,Boulder,Colorado,Commerce,0,0,1,0,2010-05-17T11:05:00Z,53,Male
"Brady, Texas and Jacksonville, North Carolina",6,5,1,Brady,Texas,Open Space,1,0,1,0,2013-05-26T04:30:00Z,23,Male
"Brady, Texas and Jacksonville, North Carolina",1,0,1,Jacksonville,North Carolina,Open Space,1,0,1,0,2013-05-26T04:30:00Z,23,Male
Bronx-Lebanon Hospital Center,7,6,1,Bronx,New York,Health Care,1,0,0,0,2017-06-30T14:50:00Z,45,Male
Burger King and Huddle House,3,2,1,North Augusta,South Carolina,Commerce,1,0,0,0,2005-11-22T06:10:00Z,NA,Male
Burnette Chapel Church of Christ,8,7,1,Antioch,Tennessee,House of Worship,0,0,2,0,2017-09-24T11:15:00Z,25,Male
Café Racer,5,0,5,Seattle,Washington,Commerce,0,0,2,0,2012-05-30T10:52:00Z,40,Male
California Auto Specialist and Apartment Complex,6,3,3,Colton,California,Commerce,0,0,1,0,2005-08-08T14:40:00Z,35,Male
Campbell County Comprehensive High School,2,1,1,Jacksboro,Tennessee,Education,0,0,1,0,2005-11-08T14:14:00Z,14,Male
Capital Gazette,7,2,5,Annapolis,Maryland,Commerce,0,1,0,0,2018-06-29T14:34:00Z,38,Male
Cascade Mall,5,0,5,Burlington,Washington,Commerce,1,0,0,0,2016-09-23T18:52:00Z,20,Male
"Case Western Reserve University, Weatherhead School of Management",3,2,1,Cleveland,Ohio,Education,1,0,1,0,2003-05-09T15:55:00Z,62,Male
Cedarville Rancheria Tribal Office,6,2,4,Alturas,California,Government,0,0,1,0,2014-02-20T15:30:00Z,44,Female
Chardon High School,6,3,3,Chardon,Ohio,Education,0,0,1,0,2012-02-27T07:30:00Z,17,Male
Cici's Pizza and Walmart,2,0,2,Las Vegas,Nevada,Commerce,0,1,1,0,2014-06-08T11:20:00Z,31,Male
Cici's Pizza and Walmart,1,0,1,Las Vegas,Nevada,Commerce,0,0,1,0,2014-06-08T11:20:00Z,22,Female
Cinemark Century 16,70,58,12,Aurora,Colorado,Commerce,1,1,1,0,2012-07-20T00:30:00Z,24,Male
City Grill Café,4,2,2,Hurtsboro,Alabama,Commerce,1,0,0,0,2018-03-07T06:30:00Z,64,Male
Clackamas Town Center Mall,3,1,2,Happy Valley,Oregon,Commerce,1,0,0,0,2012-12-11T15:25:00Z,22,Male
Clovis-Carver Public Library,6,4,2,Clovis,New Mexico,Government,0,0,1,0,2017-08-28T16:15:00Z,16,Male
Club LT Tranz,3,2,1,Houston,Texas,Commerce,NA,NA,NA,NA,2009-07-25T04:40:00Z,NA,NA
Coffee and Geneva Counties Alabama,11,1,10,NA,Alabama,Open Space,1,0,0,0,2009-03-10T16:00:00Z,28,Male
"Cole Hall Auditorium, Northern Illinois University",21,16,5,DeKalb,Illinois,Education,0,1,3,0,2008-02-14T15:00:00Z,27,Male
Columbia High School,1,1,0,East Greenbush,New York,Education,0,1,0,0,2004-02-09T10:30:00Z,16,Male
ConAgra Plant,8,2,6,Kansas City,Kansas,Commerce,0,0,1,0,2004-07-02T17:00:00Z,21,Male
Co-op City Apartment Building's Leasing Office,3,2,1,Bronx,New York,Commerce,0,0,1,0,2007-08-30T07:50:00Z,44,Male
"Copley Township Neighborhood, Ohio",8,1,7,Copley Township,Ohio,Residence,0,0,2,0,2011-08-07T10:55:00Z,51,Male
Copper Top Bar,18,18,0,Tuscaloosa,Alabama,Commerce,1,0,0,0,2012-07-17T00:29:00Z,44,Male
Crawford County Courthouse,1,1,0,Girard,Kansas,Government,1,0,3,0,2011-09-13T15:37:00Z,48,Male
Dad's Sing Along Club,2,2,0,San Antonio,Texas,Commerce,0,0,1,0,2015-03-14T02:00:00Z,29,Male
DaimlerChrysler's Toledo North Assembly Plant,3,2,1,Toledo,Ohio,Commerce,0,1,0,0,2005-01-26T20:34:00Z,54,Male
Days Inn and Volunteer Parkway,4,3,1,Bristol,Tennessee,Open Space,1,0,1,0,2016-07-07T02:18:00Z,37,Male
Deer Creek Middle School,2,2,0,Littleton,Colorado,Education,1,0,0,0,2010-02-23T15:10:00Z,32,Male
Dixon High School,0,0,0,Dixon,Illinois,Education,1,0,0,0,2018-05-16T08:00:00Z,19,Male
Dollar General Store,1,1,0,Cheektowaga,New York,Commerce,2,0,0,0,2017-11-14T16:30:00Z,29,Male
Edgewater Technology Inc.,7,0,7,Wakefield,Massachusetts,Commerce,1,1,1,0,2000-12-26T11:15:00Z,42,Male
Emanuel African Methodist Epispocal Church,9,0,9,Charleston,South Carolina,House of Worship,1,0,0,0,2015-06-17T21:00:00Z,21,Male
Emcore Corporation,6,4,2,Albuquerque,New Mexico,Commerce,0,0,1,0,2010-07-12T09:30:00Z,37,Male
